AgeGroup,Attrition,Attrition_Reason,BusinessTravel,Department,EducationField,EmpID,EmployeeExperence,EnvironmentSatisfactionStatus,Gender,JobRole,MaritalStatus,Month,New_hire vs old,Over18,OverTime,PerformanceRating - Copy,Salary_Hike,SalarySlab,TotalWorkingStatus,Year
26-35,No,Attendance Issue,Non-Travel,Human Resources,Life Sciences,RM1324,0-5,Fair,Male,Human Resources,Divorced,Jul,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Human Resources,Life Sciences,RM1324,0-5,Fair,Male,Human Resources,Divorced,Nov,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Life Sciences,RM212,5-15,Fair,Male,Manufacturing Director,Single,Oct,old,Y,No,Meet Expectations,11.00%,5k-10k,11-25,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Life Sciences,RM212,5-15,Fair,Male,Manufacturing Director,Single,Sep,old,Y,No,Meet Expectations,11.00%,5k-10k,11-25,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Life Sciences,RM558,0-5,Poor,Female,Healthcare Representative,Divorced,May,old,Y,No,Below Expectations,1.00%,5k-10k,11-25,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Life Sciences,RM558,0-5,Poor,Female,Healthcare Representative,Divorced,Sep,old,Y,No,Below Expectations,1.00%,5k-10k,11-25,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Life Sciences,RM638,0-5,Poor,Male,Laboratory Technician,Divorced,Jul,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Life Sciences,RM638,0-5,Poor,Male,Laboratory Technician,Divorced,Oct,NEW_Hire,Y,No,Below Expectations,3.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Life Sciences,RM804,0-5,Fair,Male,Research Scientist,Married,Jun,NEW_Hire,Y,No,Below Expectations,0.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Life Sciences,RM804,0-5,Fair,Male,Research Scientist,Married,Jun,NEW_Hire,Y,No,Below Expectations,0.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM1406,5-15,Fair,Female,Research Director,Married,Aug,old,Y,No,Meet Expectations,11.00%,10k-15k,11-25,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM1406,5-15,Fair,Female,Research Director,Married,Jun,old,Y,No,Meet Expectations,11.00%,10k-15k,11-25,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM1416,0-5,Excellent,Male,Laboratory Technician,Divorced,Jan,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM1416,0-5,Excellent,Male,Laboratory Technician,Divorced,Oct,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM1464,0-5,Excellent,Male,Manufacturing Director,Single,Mar,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,Above 25,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM1464,0-5,Excellent,Male,Manufacturing Director,Single,Nov,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,Above 25,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM1464,0-5,Excellent,Male,Manufacturing Director,Single,Nov,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,Above 25,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM1464,0-5,Excellent,Male,Manufacturing Director,Single,Oct,NEW_Hire,Y,No,Below Expectations,9.00%,5k-10k,Above 25,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM165,0-5,Fair,Male,Research Scientist,Divorced,Apr,NEW_Hire,Y,Yes,Below Expectations,1.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM165,0-5,Fair,Male,Research Scientist,Divorced,Feb,NEW_Hire,Y,Yes,Below Expectations,1.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM225,0-5,Fair,Male,Manufacturing Director,Married,Apr,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM225,0-5,Fair,Male,Manufacturing Director,Married,Jun,NEW_Hire,Y,No,Below Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM427,5-15,Fair,Female,Laboratory Technician,Single,May,old,Y,No,Below Expectations,11.00%,Upto 5k,11-25,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM427,5-15,Fair,Female,Laboratory Technician,Single,Nov,old,Y,No,Below Expectations,11.00%,Upto 5k,11-25,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM757,0-5,Poor,Female,Laboratory Technician,Single,Jun,NEW_Hire,Y,No,Below Expectations,8.00%,Upto 5k,Above 25,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Medical,RM757,0-5,Poor,Female,Laboratory Technician,Single,Nov,NEW_Hire,Y,No,Below Expectations,8.00%,Upto 5k,Above 25,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Technical Degree,RM1053,0-5,Fair,Male,Research Scientist,Divorced,Mar,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Technical Degree,RM1053,0-5,Fair,Male,Research Scientist,Divorced,Oct,NEW_Hire,Y,No,Below Expectations,1.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Technical Degree,RM1266,0-5,Poor,Male,Research Scientist,Divorced,Mar,old,Y,No,Below Expectations,9.00%,Upto 5k,11-25,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Technical Degree,RM1266,0-5,Poor,Male,Research Scientist,Divorced,Oct,old,Y,No,Below Expectations,9.00%,Upto 5k,11-25,2022
26-35,No,Attendance Issue,Non-Travel,Research & Development,Technical Degree,RM978,0-5,Good,Female,Research Scientist,Divorced,Apr,NEW_Hire,Y,No,Meet Expectations,5.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Research & Development,Technical Degree,RM978,0-5,Good,Female,Research Scientist,Divorced,Sep,NEW_Hire,Y,No,Meet Expectations,5.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Sales,Life Sciences,RM1199,0-5,Fair,Female,Sales Executive,Divorced,Jan,NEW_Hire,Y,Yes,Meet Expectations,6.00%,5k-10k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Sales,Life Sciences,RM1199,0-5,Fair,Female,Sales Executive,Divorced,Sep,NEW_Hire,Y,Yes,Meet Expectations,6.00%,5k-10k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Sales,Life Sciences,RM711,5-15,Poor,Male,Manager,Single,Feb,NEW_Hire,Y,No,Below Expectations,10.00%,15k+,Above 25,2023
26-35,No,Attendance Issue,Non-Travel,Sales,Life Sciences,RM711,5-15,Poor,Male,Manager,Single,Jul,NEW_Hire,Y,No,Below Expectations,10.00%,15k+,Above 25,2022
26-35,No,Attendance Issue,Non-Travel,Sales,Life Sciences,RM755,0-5,Excellent,Female,Sales Representative,Single,Jan,NEW_Hire,Y,No,Below Expectations,2.00%,Upto 5k,0-10,2022
26-35,No,Attendance Issue,Non-Travel,Sales,Life Sciences,RM755,0-5,Excellent,Female,Sales Representative,Single,Jan,NEW_Hire,Y,No,Below Expectations,2.00%,Upto 5k,0-10,2023
26-35,No,Attendance Issue,Non-Travel,Sales,Marketing,RM047,0-5,Excellent,Male,Sales Executive,Single,Aug,NEW_Hire,Y,No,Meet Expectations,9.00%,Upto 5k,Above 25,2023
26-35,No,Attendance Issue,Non-Travel,Sales,Marketing,RM047,0-5,Excellent,Male,Sales Executive,Single,Sep,NEW_Hire,Y,No,Meet Expectations,9.00%,Upto 5k,Above 25,2022
26-35,No,Attendance Issue,Non-Travel,Sales,Marketing,RM122,0-5,Fair,Male,Sales Executive,Married,Feb,NEW_Hire,Y,No,Below Expectations,7.00%,5k-10k,0-10,2023
