Age band,Attrition,Attrition label,Business Travel,Curr as Manager,Department,Distance Status,Education,Education Field,Employee Number,Enviroment status,Gender,INR Salary,Job Role,job Satisfied,Job_satisfaction,Last promotion,Marital Status,Number Emp,Over Time,Percent Salary Hike,performance scale,Relationship Satisfaction,Stock Option Level,total working year status,Tranning time,Year,Year At Company,Year Current role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Far,Associates Degree,Other,1598,Abivalent,Male,₹ 900960,Software Developer,Satisfied,Very Dissatisfied,6-10,Single,STAFF-1598,No,1500%,Below Expectations,4,1%,0-10,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Far,Master's Degree,Marketing,813,Very happy,Male,₹ 1745680,Human Resource,Dissatisfied,satisfied,6-10,Divorced,STAFF-813,No,2000%,Meet Expectations,2,1%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Far,Master's Degree,Medical,1436,Abivalent,Male,₹ 1079520,Software Developer,Satisfied,Very Dissatisfied,6-10,Single,STAFF-1436,No,1300%,Below Expectations,3,2%,11-20,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Far,Master's Degree,Medical,2045,Very happy,Female,₹ 1149520,IT Project Manager,Very Satisfied,Dissatisfied,6-10,Single,STAFF-2045,No,1300%,Meet Expectations,4,1%,0-10,0-3 Year,2022,6-10 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Near,Associates Degree,Life Science,1678,Happy,Female,₹ 927280,Software Developer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-1678,No,1600%,Exceed Expectations,3,0%,21-30,0-3 Year,2022,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Near,High School,Life Science,473,Abivalent,Male,₹ 1918240, UI/UX Designer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-473,No,2100%,Below Expectations,3,1%,11-20,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Associates Degree,Human Resources,869,Very happy,Male,₹ 1917200,IT Project Manager,Satisfied,Very Dissatisfied,6-10,Single,STAFF-869,Yes,1300%,Meet Expectations,2,1%,0-10,More than 3,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Associates Degree,Life Science,1140,Happy,Female,₹ 1266720,Sale Representative,Satisfied,Very Dissatisfied,6-10,Divorced,STAFF-1140,No,1100%,Exceed Expectations,3,0%,0-10,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Bachelor's Degree,Human Resources,902,Abivalent,Female,₹ 1742560, UI/UX Designer,Satisfied,Very Dissatisfied,6-10,Married,STAFF-902,Yes,1300%,Below Expectations,3,1%,11-20,0-3 Year,2021,0-5 Year,0-5 Year Same Role
22-30yr,No,Current Employees,Frequently,0-5yr,Cybersecurity,Very Far,Bachelor's Degree,Life Science,434,Very happy,Male,₹ 1675040,Software Developer,Very Satisfied,Dissatisfied,6-10,Married,STAFF-434,No,1200%,Meet Expectations,3,0%,0-10,0-3 Year,2020,0-5 Year,0-5 Year Same Role
